page,line,original,token,property,selector
admin-status,16,#0f172a,⚠️ 미매핑,?,:root
admin-status,17,#1e293b,⚠️ 미매핑,?,:root
admin-status,18,#0c1322,⚠️ 미매핑,?,:root
admin-status,19,#334155,⚠️ 미매핑,border,:root
admin-status,20,#f1f5f9,⚠️ 미매핑,?,:root
admin-status,21,#94a3b8,⚠️ 미매핑,?,:root
admin-status,22,#8b5cf6,⚠️ 미매핑,?,:root
admin-status,23,#ec4899,--aurora-2,?,:root
admin-status,24,#06b6d4,--info,?,:root
admin-status,25,#16a34a,--auto,?,:root
admin-status,26,#2563eb,--staff,?,:root
admin-status,27,#9333ea,⚠️ 미매핑,?,:root
admin-status,28,#dc2626,⚠️ 미매핑,?,:root
admin-status,29,#dc2626,⚠️ 미매핑,?,:root
admin-status,30,#ea580c,⚠️ 미매핑,?,:root
admin-status,31,#ca8a04,--ceo,?,:root
admin-status,33,#16a34a,--auto,?,:root
admin-status,34,"rgba(22,163,74,0.10)",--auto-bg,?,:root
admin-status,35,#86efac,--auto-text,?,:root
admin-status,36,#2563eb,--staff,?,:root
admin-status,37,"rgba(96,165,250,0.10)",--staff-bg,?,:root
admin-status,38,#93c5fd,--staff-text,?,:root
admin-status,39,#ca8a04,--ceo,?,:root
admin-status,40,"rgba(251,191,36,0.10)",--ceo-bg,?,:root
admin-status,41,#fcd34d,--ceo-text,?,:root
admin-status,60,#60a5fa,⚠️ 미매핑,color,.header-title .subtitle a
admin-status,71,"rgba(220,38,38,0.18)",⚠️ 미매핑,background,.deadline-banner
admin-status,71,"rgba(234,88,12,0.10)",⚠️ 미매핑,background,.deadline-banner
admin-status,78,#fca5a5,⚠️ 미매핑,color,.deadline-banner .title
admin-status,79,#cbd5e1,⚠️ 미매핑,color,.deadline-banner .detail
admin-status,83,"rgba(139,92,246,0.10)",⚠️ 미매핑,background,.avg-card
admin-status,83,"rgba(6,182,212,0.05)",⚠️ 미매핑,background,.avg-card
admin-status,84,"rgba(139,92,246,0.3)",⚠️ 미매핑,border,.avg-card
admin-status,106,"rgba(22,163,74,0.4)",⚠️ 미매핑,background,.stat-card.auto
admin-status,107,"rgba(96,165,250,0.4)",⚠️ 미매핑,background,.stat-card.staff
admin-status,108,"rgba(251,191,36,0.4)",⚠️ 미매핑,background,.stat-card.ceo
admin-status,109,"rgba(148,163,184,0.10)",⚠️ 미매핑,background,.stat-card.charter
admin-status,109,"rgba(148,163,184,0.3)",⚠️ 미매핑,background,.stat-card.charter
admin-status,114,#cbd5e1,⚠️ 미매핑,color,.stat-card.charter .stat-label
admin-status,125,"rgba(99,102,241,0.3)",⚠️ 미매핑,box-shadow,.stat-card.active-filter
admin-status,143,"rgba(236, 72, 153, 0.08)",⚠️ 미매핑,background,.top-row.linked-highlight
admin-status,148,"rgba(236,72,153,0.4)",⚠️ 미매핑,box-shadow,"0%, 100%"
admin-status,149,"rgba(236,72,153,0.0)",⚠️ 미매핑,box-shadow,50%
admin-status,164,"rgba(99,102,241,0.6)",⚠️ 미매핑,box-shadow,0%
admin-status,164,"rgba(236,72,153,0.4)",⚠️ 미매핑,box-shadow,0%
admin-status,165,"rgba(99,102,241,0.4)",⚠️ 미매핑,box-shadow,20%
admin-status,165,"rgba(236,72,153,0.5)",⚠️ 미매핑,box-shadow,20%
admin-status,166,"rgba(99,102,241,0)",⚠️ 미매핑,box-shadow,100%
admin-status,166,"rgba(236,72,153,0)",⚠️ 미매핑,box-shadow,100%
admin-status,186,"rgba(22,163,74,0.10)",--auto-bg,background,.next-action
admin-status,186,"rgba(22,163,74,0.04)",⚠️ 미매핑,background,.next-action
admin-status,187,"rgba(22,163,74,0.4)",⚠️ 미매핑,border,.next-action
admin-status,191,"rgba(22,163,74,0.25)",⚠️ 미매핑,background,.next-action-row > .pill
admin-status,194,#fff,--ink,background,.next-action-row > button
admin-status,199,"rgba(22,163,74,0.3)",⚠️ 미매핑,border-top,.next-action-hint
admin-status,204,"rgba(147,51,234,0.12)",⚠️ 미매핑,background,.in-progress-box
admin-status,204,"rgba(147,51,234,0.04)",⚠️ 미매핑,background,.in-progress-box
admin-status,205,"rgba(147,51,234,0.45)",⚠️ 미매핑,border,.in-progress-box
admin-status,212,"rgba(147,51,234,0.28)",⚠️ 미매핑,background,.in-progress-row > .pill
admin-status,212,#c4b5fd,⚠️ 미매핑,background,.in-progress-row > .pill
admin-status,223,"rgba(147,51,234,0.85)",⚠️ 미매핑,background,.in-progress-row > button
admin-status,223,#fff,--ink,background,.in-progress-row > button
admin-status,226,"rgba(147,51,234,1)",⚠️ 미매핑,background,.in-progress-row > button:hover
admin-status,229,"rgba(147,51,234,0.3)",⚠️ 미매핑,border-top,.in-progress-meta
admin-status,233,"rgba(196,181,253,0.7)",⚠️ 미매핑,color,.in-progress-meta .item .label
admin-status,238,"rgba(147,51,234,0.3)",⚠️ 미매핑,border-top,.in-progress-progress
admin-status,246,"rgba(196,181,253,0.85)",⚠️ 미매핑,color,.in-progress-progress .pp-head
admin-status,251,#fff,--ink,color,.in-progress-progress .pp-head:hover
admin-status,257,"rgba(196,181,253,0.6)",⚠️ 미매핑,color,.in-progress-progress .pp-toggle
admin-status,261,#c4b5fd,⚠️ 미매핑,color,.in-progress-progress .pp-percent
admin-status,264,"rgba(147,51,234,0.15)",⚠️ 미매핑,background,.in-progress-progress .pp-bar
admin-status,269,#a855f7,⚠️ 미매핑,background,.in-progress-progress .pp-bar-fill
admin-status,269,#ec4899,--aurora-2,background,.in-progress-progress .pp-bar-fill
admin-status,285,"rgba(196,181,253,0.85)",⚠️ 미매핑,color,.in-progress-progress .pp-step.done
admin-status,287,#fff,--ink,color,.in-progress-progress .pp-step.current
admin-status,288,"rgba(147,51,234,0.18)",⚠️ 미매핑,background,.in-progress-progress .pp-step.current
admin-status,290,#ec4899,--aurora-2,border-left,.in-progress-progress .pp-step.current
admin-status,297,"rgba(147,51,234,0.3)",⚠️ 미매핑,border-top,.in-progress-recent
admin-status,301,"rgba(196,181,253,0.85)",⚠️ 미매핑,color,.in-progress-recent .label-row
admin-status,308,#c4b5fd,⚠️ 미매핑,color,.in-progress-recent .commit-row .hash
admin-status,318,#a855f7,⚠️ 미매핑,border-left,.auto-queue-card.in-progress-card
admin-status,319,"rgba(147,51,234,0.10)",⚠️ 미매핑,background,.auto-queue-card.in-progress-card
admin-status,319,"rgba(147,51,234,0.02)",⚠️ 미매핑,background,.auto-queue-card.in-progress-card
admin-status,322,"rgba(147,51,234,0.25)",⚠️ 미매핑,background,.auto-queue-card.in-progress-card .auto-queue-num
admin-status,322,#c4b5fd,⚠️ 미매핑,background,.auto-queue-card.in-progress-card .auto-queue-num
admin-status,337,"rgba(15,23,42,0.4)",⚠️ 미매핑,background,.cat-progress-section
admin-status,338,"rgba(99,102,241,0.18)",⚠️ 미매핑,border,.cat-progress-section
admin-status,347,"rgba(99,102,241,0.2)",⚠️ 미매핑,border-bottom,.cat-progress-header
admin-status,356,"rgba(236,72,153,0.2)",⚠️ 미매핑,border,.cat-card.expanded
admin-status,357,"rgba(202,138,4,0.4)",⚠️ 미매핑,border-color,.cat-card.warn
admin-status,386,"rgba(96,165,250,0.05)",⚠️ 미매핑,background,.urgent-card
admin-status,395,"rgba(220,38,38,0.2)",⚠️ 미매핑,background,.urgent-pill.p0
admin-status,395,#fca5a5,⚠️ 미매핑,background,.urgent-pill.p0
admin-status,396,"rgba(234,88,12,0.2)",⚠️ 미매핑,background,.urgent-pill.p1
admin-status,396,#fb923c,⚠️ 미매핑,background,.urgent-pill.p1
admin-status,397,"rgba(202,138,4,0.2)",⚠️ 미매핑,background,.urgent-pill.p2
admin-status,397,#fcd34d,--ceo-text,background,.urgent-pill.p2
admin-status,398,"rgba(147,51,234,0.2)",⚠️ 미매핑,background,.urgent-pill.in_progress
admin-status,398,#c4b5fd,⚠️ 미매핑,background,.urgent-pill.in_progress
admin-status,399,"rgba(37,99,235,0.2)",⚠️ 미매핑,background,.urgent-pill.pending
admin-status,399,#93c5fd,--staff-text,background,.urgent-pill.pending
admin-status,400,"rgba(220,38,38,0.2)",⚠️ 미매핑,background,.urgent-pill.blocked
admin-status,400,#fca5a5,⚠️ 미매핑,background,.urgent-pill.blocked
admin-status,401,"rgba(148,163,184,0.15)",⚠️ 미매핑,background,.urgent-pill.cat
admin-status,401,#cbd5e1,⚠️ 미매핑,background,.urgent-pill.cat
admin-status,406,"rgba(22,163,74,0.04)",⚠️ 미매핑,background,.urgent-empty
admin-status,418,"rgba(34,197,94,0.08)",⚠️ 미매핑,background,.auto-queue-card
admin-status,418,"rgba(34,197,94,0.02)",⚠️ 미매핑,background,.auto-queue-card
admin-status,419,"rgba(34,197,94,0.25)",⚠️ 미매핑,border,.auto-queue-card
admin-status,420,#22c55e,⚠️ 미매핑,border-left,.auto-queue-card
admin-status,434,"rgba(34,197,94,0.20)",⚠️ 미매핑,background,.auto-queue-order
admin-status,435,#86efac,--auto-text,color,.auto-queue-order
admin-status,444,"rgba(239,68,68,0.20)",⚠️ 미매핑,background,.auto-queue-card.p0 .auto-queue-order
admin-status,444,#fca5a5,⚠️ 미매핑,background,.auto-queue-card.p0 .auto-queue-order
admin-status,445,"rgba(249,115,22,0.20)",⚠️ 미매핑,background,.auto-queue-card.p1 .auto-queue-order
admin-status,445,#fdba74,⚠️ 미매핑,background,.auto-queue-card.p1 .auto-queue-order
admin-status,448,#4ade80,⚠️ 미매핑,color,.auto-queue-card:hover
admin-status,449,"rgba(34,197,94,0.15)",⚠️ 미매핑,box-shadow,.auto-queue-card:hover
admin-status,451,"rgba(239,68,68,0.10)",⚠️ 미매핑,color,.auto-queue-card.p0
admin-status,451,"rgba(239,68,68,0.02)",⚠️ 미매핑,color,.auto-queue-card.p0
admin-status,451,#ef4444,--danger,color,.auto-queue-card.p0
admin-status,452,"rgba(249,115,22,0.10)",⚠️ 미매핑,color,.auto-queue-card.p1
admin-status,452,"rgba(249,115,22,0.02)",⚠️ 미매핑,color,.auto-queue-card.p1
admin-status,452,#f97316,⚠️ 미매핑,color,.auto-queue-card.p1
admin-status,455,"rgba(34,197,94,0.2)",⚠️ 미매핑,background,.auto-queue-bot-pill
admin-status,456,#86efac,--auto-text,color,.auto-queue-bot-pill
admin-status,469,"rgba(34,197,94,0.18)",⚠️ 미매핑,background,.auto-queue-action
admin-status,470,#86efac,--auto-text,color,.auto-queue-action
admin-status,475,"rgba(34,197,94,0.3)",⚠️ 미매핑,background,.auto-queue-card:hover .auto-queue-action
admin-status,475,#4ade80,⚠️ 미매핑,background,.auto-queue-card:hover .auto-queue-action
admin-status,481,"rgba(34,197,94,0.05)",⚠️ 미매핑,background,.auto-queue-empty
admin-status,482,"rgba(34,197,94,0.2)",⚠️ 미매핑,border,.auto-queue-empty
admin-status,490,"rgba(34,197,94,0.95)",⚠️ 미매핑,background,.auto-queue-toast
admin-status,490,"rgba(22,163,74,0.95)",⚠️ 미매핑,background,.auto-queue-toast
admin-status,491,#fff,--ink,color,.auto-queue-toast
admin-status,496,"rgba(0,0,0,0.4)",--sh-shadow-strong,box-shadow,.auto-queue-toast
admin-status,519,"rgba(255,255,255,0.05)",--glass,background,.progress-row-bar
admin-status,535,#60a5fa,⚠️ 미매핑,color,.integ-kpi .k-num.dday
admin-status,537,#c4b5fd,⚠️ 미매핑,color,.integ-kpi .k-num.active
admin-status,543,"rgba(251,191,36,0.06)",⚠️ 미매핑,background,.ceo-wait-box
admin-status,543,"rgba(251,191,36,0.4)",⚠️ 미매핑,background,.ceo-wait-box
admin-status,550,"rgba(251,191,36,0.04)",⚠️ 미매핑,background,.ceo-wait-item
admin-status,553,"rgba(220,38,38,0.2)",⚠️ 미매핑,background,.pri-pill.p0
admin-status,553,#fca5a5,⚠️ 미매핑,background,.pri-pill.p0
admin-status,554,"rgba(234,88,12,0.2)",⚠️ 미매핑,background,.pri-pill.p1
admin-status,554,#fb923c,⚠️ 미매핑,background,.pri-pill.p1
admin-status,555,"rgba(202,138,4,0.2)",⚠️ 미매핑,background,.pri-pill.p2
admin-status,555,#fcd34d,--ceo-text,background,.pri-pill.p2
admin-status,566,"rgba(96,165,250,0.05)",⚠️ 미매핑,background,.top-row
admin-status,571,"rgba(99,102,241,0.12)",⚠️ 미매핑,background,.top-row[data-page-path]:hover
admin-status,585,"rgba(220,38,38,0.10)",⚠️ 미매핑,background,.top-row.crit-1
admin-status,586,"rgba(202,138,4,0.08)",⚠️ 미매핑,background,.top-row.crit-2
admin-status,591,#60a5fa,⚠️ 미매핑,color,.top-row .score.s-high
admin-status,597,"rgba(22,163,74,0.2)",⚠️ 미매핑,background,.state-pill.auto
admin-status,598,"rgba(96,165,250,0.2)",⚠️ 미매핑,background,.state-pill.staff
admin-status,599,"rgba(251,191,36,0.2)",⚠️ 미매핑,background,.state-pill.ceo
admin-status,600,"rgba(148,163,184,0.2)",⚠️ 미매핑,background,.state-pill.hold
admin-status,600,#cbd5e1,⚠️ 미매핑,background,.state-pill.hold
admin-status,609,#60a5fa,⚠️ 미매핑,color,.footer .commit
admin-status,620,#fff,--ink,background,.activity-filter-btn.active
admin-status,625,"rgba(96,165,250,0.04)",⚠️ 미매핑,background,.activity-row
admin-status,627,"rgba(251,191,36,0.04)",⚠️ 미매핑,background,.activity-row.ceo
admin-status,628,"rgba(22,163,74,0.04)",⚠️ 미매핑,background,.activity-row.bot
admin-status,629,"rgba(96,165,250,0.07)",⚠️ 미매핑,background,.activity-row.staff
admin-status,636,"rgba(96,165,250,0.10)",--staff-bg,background,.activity-row:hover
admin-status,637,"rgba(251,191,36,0.10)",--ceo-bg,background,.activity-row.ceo:hover
admin-status,638,"rgba(22,163,74,0.10)",--auto-bg,background,.activity-row.bot:hover
admin-status,645,"rgba(0,0,0,0.25)",⚠️ 미매핑,background,.activity-expand
admin-status,660,#fff,--ink,background,.activity-tab.active
admin-status,664,"rgba(0,0,0,0.35)",⚠️ 미매핑,background,.activity-tab-pane pre
admin-status,673,"rgba(0,0,0,0.4)",--sh-shadow-strong,background,.activity-tab-pane code
admin-status,679,#4ade80,⚠️ 미매핑,color,.activity-tab-pane .file-line .add
admin-status,680,#f87171,⚠️ 미매핑,color,.activity-tab-pane .file-line .del
admin-status,687,"rgba(22,163,74,0.20)",⚠️ 미매핑,background,.poll-toast
admin-status,687,#4ade80,⚠️ 미매핑,background,.poll-toast
admin-status,688,#4ade80,⚠️ 미매핑,border,.poll-toast
admin-status,696,"rgba(0,0,0,0.5)",⚠️ 미매핑,background,.poll-status
admin-status,701,#fbbf24,⚠️ 미매핑,color,.poll-status.paused
admin-status,701,#fbbf24,⚠️ 미매핑,color,.poll-status.paused
admin-status,765,"rgba(15,23,42,0.55)",⚠️ 미매핑,background,.os-sidebar
admin-status,766,"rgba(99,102,241,0.22)",⚠️ 미매핑,border,.os-sidebar
admin-status,777,"rgba(99,102,241,0.18)",⚠️ 미매핑,border-bottom,.os-sidebar .os-sb-area-label
admin-status,787,"rgba(99,102,241,0.12)",⚠️ 미매핑,background,.os-sidebar .os-sb-menu:hover
admin-status,787,#c7d2fe,⚠️ 미매핑,background,.os-sidebar .os-sb-menu:hover
admin-status,788,"rgba(99,102,241,0.18)",⚠️ 미매핑,background,.os-sidebar .os-sb-menu.active
admin-status,788,#a5b4fc,⚠️ 미매핑,background,.os-sidebar .os-sb-menu.active
admin-status,793,"rgba(251,191,36,0.06)",⚠️ 미매핑,background,.os-sidebar .os-sb-empty
admin-status,793,"rgba(251,191,36,0.25)",⚠️ 미매핑,background,.os-sidebar .os-sb-empty
admin-status,797,#f5d97b,⚠️ 미매핑,color,.os-sidebar .os-sb-warn
admin-status,798,"rgba(251,191,36,0.08)",⚠️ 미매핑,background,.os-sidebar .os-sb-warn
admin-status,803,"rgba(148,163,184,0.15)",⚠️ 미매핑,border-top,.os-sidebar .os-sb-poll
admin-status,824,"rgba(255,255,255,0.1)",⚠️ 미매핑,border-bottom,.os-sidebar
admin-status,825,#222,⚠️ 미매핑,background,.os-sidebar
admin-status,825,#888,⚠️ 미매핑,background,.os-sidebar
admin-status,831,#666,⚠️ 미매핑,color,"onclick=""(function()"
admin-status,834,#1a1a1a,⚠️ 미매핑,background,"onclick=""(function()"
admin-status,834,#ccc,⚠️ 미매핑,background,"onclick=""(function()"
admin-status,836,"rgba(255,255,255,0.1)",⚠️ 미매핑,border-bottom,"onclick=""(function()"
admin-status,843,#0a3d12,⚠️ 미매핑,?,function colorMap(s)
admin-status,843,#7be58a,⚠️ 미매핑,?,function colorMap(s)
admin-status,843,#3d2f0a,⚠️ 미매핑,?,function colorMap(s)
admin-status,843,#f5d97b,⚠️ 미매핑,?,function colorMap(s)
admin-status,843,#3d0a0a,⚠️ 미매핑,?,function colorMap(s)
admin-status,843,#f57b7b,⚠️ 미매핑,?,function colorMap(s)
admin-status,843,#1a1a1a,⚠️ 미매핑,?,function colorMap(s)
admin-status,843,#888,⚠️ 미매핑,?,function colorMap(s)
admin-status,843,#222,⚠️ 미매핑,?,function colorMap(s)
admin-status,843,#888,⚠️ 미매핑,?,function colorMap(s)
admin-status,1001,#60a5fa,⚠️ 미매핑,color,.catch(function()
admin-status,1076,"rgba(99,102,241,0.06)",⚠️ 미매핑,?,.command-center
admin-status,1077,"rgba(168,85,247,0.06)",⚠️ 미매핑,?,.command-center
admin-status,1078,"rgba(236,72,153,0.06)",⚠️ 미매핑,?,.command-center
admin-status,1079,"rgba(99,102,241,0.25)",⚠️ 미매핑,border,.command-center
admin-status,1081,"rgba(99,102,241,0.08)",⚠️ 미매핑,box-shadow,.command-center
admin-status,1089,"rgba(99,102,241,0.2)",⚠️ 미매핑,border-bottom,.cc-header
admin-status,1094,#6366f1,⚠️ 미매핑,color,.cc-title
admin-status,1099,#64748b,⚠️ 미매핑,color,.cc-hint
admin-status,1105,#94a3b8,⚠️ 미매핑,color,.cc-poll-status
admin-status,1107,"rgba(99,102,241,0.08)",⚠️ 미매핑,background,.cc-poll-status
admin-status,1114,#10b981,--success,color,.cc-poll-status.cc-poll-active
admin-status,1115,"rgba(16,185,129,0.12)",⚠️ 미매핑,background,.cc-poll-status.cc-poll-active
admin-status,1126,"rgba(99,102,241,0.06)",⚠️ 미매핑,background,.cc-kpi
admin-status,1127,"rgba(99,102,241,0.18)",⚠️ 미매핑,border,.cc-kpi
admin-status,1135,"rgba(99,102,241,0.1)",⚠️ 미매핑,background,.cc-kpi:hover
admin-status,1138,#94a3b8,⚠️ 미매핑,color,.cc-kpi-label
admin-status,1146,#e2e8f0,⚠️ 미매핑,color,.cc-kpi-num
admin-status,1148,#22c55e,⚠️ 미매핑,color,.cc-kpi-done .cc-kpi-num
admin-status,1149,#c4b5fd,⚠️ 미매핑,color,.cc-kpi-active .cc-kpi-num
admin-status,1150,#ef4444,--danger,color,.cc-kpi-blocked .cc-kpi-num
admin-status,1153,#64748b,⚠️ 미매핑,color,.cc-kpi-sub
admin-status,1167,#1e293b,⚠️ 미매핑,color,.cc-slot-label
admin-status,1170,"rgba(255,255,255,0.5)",⚠️ 미매핑,background,.cc-slot-label
admin-status,1172,#6366f1,⚠️ 미매핑,border-left,.cc-slot-label
admin-status,1174,#f59e0b,--warn,color,.cc-slot#cc-slot-ceo .cc-slot-label
admin-status,1175,#6366f1,⚠️ 미매핑,color,.cc-slot#cc-slot-auto .cc-slot-label
admin-status,1176,#10b981,--success,color,.cc-slot#cc-slot-staff .cc-slot-label
admin-status,1182,#94a3b8,⚠️ 미매핑,color,".cc-loading, .cc-empty"
admin-status,1193,"rgba(16,185,129,0.06)",⚠️ 미매핑,background,.cc-staff-card
admin-status,1194,"rgba(16,185,129,0.3)",⚠️ 미매핑,border,.cc-staff-card
admin-status,1201,"rgba(16,185,129,0.12)",⚠️ 미매핑,background,.cc-staff-card:hover
admin-status,1202,"rgba(16,185,129,0.6)",⚠️ 미매핑,border-color,.cc-staff-card:hover
admin-status,1207,#059669,⚠️ 미매핑,color,.cc-staff-card .cc-card-id
admin-status,1213,#1e293b,⚠️ 미매핑,color,.cc-staff-card .cc-card-title
admin-status,1223,#64748b,⚠️ 미매핑,color,.cc-staff-card .cc-card-meta
admin-status,1233,#fee2e2,⚠️ 미매핑,background,.cc-staff-card .cc-card-priority.P0
admin-status,1233,#dc2626,⚠️ 미매핑,background,.cc-staff-card .cc-card-priority.P0
admin-status,1234,#fed7aa,⚠️ 미매핑,background,.cc-staff-card .cc-card-priority.P1
admin-status,1234,#ea580c,⚠️ 미매핑,background,.cc-staff-card .cc-card-priority.P1
admin-status,1235,#fef3c7,⚠️ 미매핑,background,.cc-staff-card .cc-card-priority.P2
admin-status,1235,#ca8a04,--ceo,background,.cc-staff-card .cc-card-priority.P2
admin-status,1236,#e5e7eb,⚠️ 미매핑,background,.cc-staff-card .cc-card-priority.P3
admin-status,1236,#6b7280,⚠️ 미매핑,background,.cc-staff-card .cc-card-priority.P3
admin-status,1241,"rgba(255,255,255,0.7)",⚠️ 미매핑,background,.cc-staff-card .cc-card-started-by
admin-status,1248,"rgba(96,165,250,0.18)",⚠️ 미매핑,background,.cc-staff-card .cc-card-action
admin-status,1249,#60a5fa,⚠️ 미매핑,color,.cc-staff-card .cc-card-action
admin-status,1255,"rgba(96,165,250,0.32)",⚠️ 미매핑,background,.cc-staff-card:hover .cc-card-action
admin-status,1256,#93c5fd,--staff-text,color,.cc-staff-card:hover .cc-card-action
admin-status,1271,"rgba(15,23,42,0.95)",⚠️ 미매핑,background,.cc-toast
admin-status,1277,"rgba(0,0,0,0.2)",⚠️ 미매핑,box-shadow,.cc-toast
admin-status,1287,"rgba(220,38,38,0.95)",⚠️ 미매핑,background,.cc-toast.error
admin-status,1288,"rgba(16,185,129,0.95)",⚠️ 미매핑,background,.cc-toast.success
admin-status,1303,"rgba(15,23,42,0.55)",⚠️ 미매핑,background,.ceo-decision-backdrop
admin-status,1316,"rgba(0,0,0,0.25)",⚠️ 미매핑,box-shadow,.ceo-decision-panel
admin-status,1341,#e2e8f0,⚠️ 미매핑,border-right,.cd-left
admin-status,1347,#e2e8f0,⚠️ 미매핑,border-bottom,.cd-left
admin-status,1353,#64748b,⚠️ 미매핑,color,.cd-col-h
admin-status,1359,#6d28d9,⚠️ 미매핑,color,.cd-right .cd-col-h
admin-status,1363,"rgba(139,92,246,0.04)",⚠️ 미매핑,background,.cd-right-placeholder
admin-status,1363,"rgba(236,72,153,0.04)",⚠️ 미매핑,background,.cd-right-placeholder
admin-status,1364,"rgba(139,92,246,0.3)",⚠️ 미매핑,border,.cd-right-placeholder
admin-status,1368,#94a3b8,⚠️ 미매핑,color,.cd-right-placeholder
admin-status,1376,#6d28d9,⚠️ 미매핑,color,.cd-right-placeholder .ph-title
admin-status,1386,"rgba(139,92,246,0.04)",⚠️ 미매핑,background,.grim-slot-wrap
admin-status,1386,"rgba(236,72,153,0.04)",⚠️ 미매핑,background,.grim-slot-wrap
admin-status,1387,"rgba(139,92,246,0.18)",⚠️ 미매핑,border,.grim-slot-wrap
admin-status,1392,#6d28d9,⚠️ 미매핑,color,.grim-slot-intro
admin-status,1395,"rgba(255,255,255,0.65)",⚠️ 미매핑,background,.grim-slot-intro
admin-status,1398,"rgba(139,92,246,0.25)",⚠️ 미매핑,border,.grim-slot-intro
admin-status,1401,#5b21b6,⚠️ 미매핑,color,.grim-slot-intro strong
admin-status,1409,#94a3b8,⚠️ 미매핑,color,.grim-rounds-empty
admin-status,1416,#e2e8f0,⚠️ 미매핑,border,.grim-round
admin-status,1425,#94a3b8,⚠️ 미매핑,color,.grim-round-h
admin-status,1431,#ede9fe,⚠️ 미매핑,background,.grim-round-num
admin-status,1431,#6d28d9,⚠️ 미매핑,background,.grim-round-num
admin-status,1437,#cbd5e1,⚠️ 미매핑,color,.grim-round-del
admin-status,1442,#fef2f2,⚠️ 미매핑,background,.grim-round-del:hover
admin-status,1442,#ef4444,--danger,background,.grim-round-del:hover
admin-status,1459,#fef9c3,⚠️ 미매핑,background,.grim-line-tag.ceo
admin-status,1459,#854d0e,⚠️ 미매핑,background,.grim-line-tag.ceo
admin-status,1462,#ede9fe,⚠️ 미매핑,background,.grim-line-tag.claude
admin-status,1462,#6d28d9,⚠️ 미매핑,background,.grim-line-tag.claude
admin-status,1466,#1e293b,⚠️ 미매핑,color,.grim-line-text
admin-status,1472,#fefce8,⚠️ 미매핑,background,".grim-line-text[contenteditable=""true""]"
admin-status,1475,#fde68a,⚠️ 미매핑,border,".grim-line-text[contenteditable=""true""]"
admin-status,1479,#fef9c3,⚠️ 미매핑,background,".grim-line-text[contenteditable=""true""]:focus"
admin-status,1480,#ca8a04,--ceo,border-color,".grim-line-text[contenteditable=""true""]:focus"
admin-status,1484,#cbd5e1,⚠️ 미매핑,color,.grim-line-text:empty::before
admin-status,1490,"rgba(139,92,246,0.2)",⚠️ 미매핑,border-top,.grim-actions
admin-status,1495,"rgba(139,92,246,0.3)",⚠️ 미매핑,border,.grim-btn
