page,line,original,token,property,selector
admin-status,1497,#6d28d9,⚠️ 미매핑,color,.grim-btn
admin-status,1506,#ede9fe,⚠️ 미매핑,background,.grim-btn:hover
admin-status,1507,#6d28d9,⚠️ 미매핑,border-color,.grim-btn:hover
admin-status,1511,#8b5cf6,⚠️ 미매핑,background,.grim-btn.primary
admin-status,1511,#ec4899,--aurora-2,background,.grim-btn.primary
admin-status,1516,"rgba(139,92,246,0.35)",⚠️ 미매핑,box-shadow,.grim-btn.primary:hover
admin-status,1523,#94a3b8,⚠️ 미매핑,color,.grim-save-status
admin-status,1530,#16a34a,--auto,color,.grim-save-status.saved
admin-status,1531,#ca8a04,--ceo,color,.grim-save-status.saving
admin-status,1542,#f1f5f9,⚠️ 미매핑,background,.ceo-decision-pill
admin-status,1542,#475569,⚠️ 미매핑,background,.ceo-decision-pill
admin-status,1544,#fee2e2,⚠️ 미매핑,background,.ceo-decision-pill.pri.p0
admin-status,1544,#dc2626,⚠️ 미매핑,background,.ceo-decision-pill.pri.p0
admin-status,1545,#fed7aa,⚠️ 미매핑,background,.ceo-decision-pill.pri.p1
admin-status,1545,#ea580c,⚠️ 미매핑,background,.ceo-decision-pill.pri.p1
admin-status,1546,#fef3c7,⚠️ 미매핑,background,.ceo-decision-pill.pri.p2
admin-status,1546,#ca8a04,--ceo,background,.ceo-decision-pill.pri.p2
admin-status,1547,#e5e7eb,⚠️ 미매핑,background,.ceo-decision-pill.pri.p3
admin-status,1547,#6b7280,⚠️ 미매핑,background,.ceo-decision-pill.pri.p3
admin-status,1548,#ede9fe,⚠️ 미매핑,background,.ceo-decision-pill.cat
admin-status,1548,#6d28d9,⚠️ 미매핑,background,.ceo-decision-pill.cat
admin-status,1550,#94a3b8,⚠️ 미매핑,color,.ceo-decision-id
admin-status,1555,#64748b,⚠️ 미매핑,color,.ceo-decision-close
admin-status,1558,#f1f5f9,⚠️ 미매핑,background,.ceo-decision-close:hover
admin-status,1558,#1e293b,⚠️ 미매핑,background,.ceo-decision-close:hover
admin-status,1561,#0f172a,⚠️ 미매핑,color,.ceo-decision-title
admin-status,1566,#f1f5f9,⚠️ 미매핑,border-top,.ceo-decision-section
admin-status,1570,#64748b,⚠️ 미매핑,color,.ceo-decision-section-h
admin-status,1575,#334155,⚠️ 미매핑,color,.ceo-decision-reasons
admin-status,1579,#94a3b8,⚠️ 미매핑,color,.ceo-decision-reasons-empty
admin-status,1587,#f8fafc,⚠️ 미매핑,background,.ceo-decision-btn
admin-status,1588,#e2e8f0,⚠️ 미매핑,border,.ceo-decision-btn
admin-status,1595,#6366f1,⚠️ 미매핑,border-color,.ceo-decision-btn:hover
admin-status,1596,#eef2ff,⚠️ 미매핑,background,.ceo-decision-btn:hover
admin-status,1600,#6366f1,⚠️ 미매핑,border-color,.ceo-decision-btn.primary
admin-status,1601,#eef2ff,⚠️ 미매핑,background,.ceo-decision-btn.primary
admin-status,1604,#e0e7ff,⚠️ 미매핑,background,.ceo-decision-btn.primary:hover
admin-status,1607,#10b981,--success,border-color,.ceo-decision-btn.ok
admin-status,1610,#10b981,--success,border-color,.ceo-decision-btn.ok:hover
admin-status,1611,#ecfdf5,⚠️ 미매핑,background,.ceo-decision-btn.ok:hover
admin-status,1615,#1e293b,⚠️ 미매핑,color,.ceo-decision-btn-h
admin-status,1618,#64748b,⚠️ 미매핑,color,.ceo-decision-btn-d
admin-status,1623,#f8fafc,⚠️ 미매핑,background,.ceo-decision-input-wrap
admin-status,1625,#e2e8f0,⚠️ 미매핑,border,.ceo-decision-input-wrap
admin-status,1634,#cbd5e1,⚠️ 미매핑,border,.ceo-decision-textarea
admin-status,1637,#0f172a,⚠️ 미매핑,color,.ceo-decision-textarea
admin-status,1643,#6366f1,⚠️ 미매핑,border-color,.ceo-decision-textarea:focus
admin-status,1644,"rgba(99,102,241,0.15)",⚠️ 미매핑,box-shadow,.ceo-decision-textarea:focus
admin-status,1653,#e2e8f0,⚠️ 미매핑,border,.ceo-decision-btn-mini
admin-status,1656,#1e293b,⚠️ 미매핑,color,.ceo-decision-btn-mini
admin-status,1661,#6366f1,⚠️ 미매핑,background,.ceo-decision-btn-mini.primary
admin-status,1662,#6366f1,⚠️ 미매핑,border-color,.ceo-decision-btn-mini.primary
admin-status,1666,#4f46e5,⚠️ 미매핑,background,.ceo-decision-btn-mini.primary:hover
admin-status,1670,#64748b,⚠️ 미매핑,color,.ceo-decision-btn-mini.cancel
admin-status,1673,#f1f5f9,⚠️ 미매핑,background,.ceo-decision-btn-mini.cancel:hover
admin-status,1689,#fefce8,⚠️ 미매핑,background,.ceo-decision-ctx
admin-status,1689,#fef9c3,⚠️ 미매핑,background,.ceo-decision-ctx
admin-status,1690,#fde68a,⚠️ 미매핑,border,.ceo-decision-ctx
admin-status,1695,#a16207,⚠️ 미매핑,color,.ceo-decision-ctx-h
admin-status,1700,#422006,⚠️ 미매핑,color,.ceo-decision-ctx-text
admin-status,1714,"rgba(255,255,255,0.7)",⚠️ 미매핑,background,.opt-card
admin-status,1723,"rgba(255,255,255,0.95)",⚠️ 미매핑,background,.opt-card:hover
admin-status,1724,"rgba(202,138,4,0.3)",⚠️ 미매핑,border-color,.opt-card:hover
admin-status,1728,#fef9c3,⚠️ 미매핑,background,.opt-card.selected
admin-status,1729,#ca8a04,--ceo,border-color,.opt-card.selected
admin-status,1730,"rgba(202,138,4,0.2)",⚠️ 미매핑,box-shadow,.opt-card.selected
admin-status,1733,#ca8a04,--ceo,background,.opt-card.selected .opt-label
admin-status,1740,"rgba(202,138,4,0.15)",⚠️ 미매핑,background,.opt-label
admin-status,1741,#854d0e,⚠️ 미매핑,color,.opt-label
admin-status,1748,#422006,⚠️ 미매핑,color,.opt-text
admin-status,1752,#1e293b,⚠️ 미매핑,color,.opt-card.selected .opt-text
admin-status,1760,#94a3b8,⚠️ 미매핑,color,.opt-cards-empty
admin-status,1765,#1e293b,⚠️ 미매핑,color,.ceo-decision-ctx-rec
admin-status,1767,#fef3c7,⚠️ 미매핑,background,.ceo-decision-ctx-rec
admin-status,1769,#ca8a04,--ceo,border,.ceo-decision-ctx-rec
admin-status,1777,#f8fafc,⚠️ 미매핑,background,.ceo-decision-ctx-pending
admin-status,1778,#cbd5e1,⚠️ 미매핑,border,.ceo-decision-ctx-pending
admin-status,1783,#64748b,⚠️ 미매핑,color,.ceo-decision-ctx-pending-msg
admin-status,1890,#86efac,--auto-text,color,.ceo-decision-ctx-pending-msg
admin-status,1917,"rgba(99,102,241,0.08)",⚠️ 미매핑,color,.ceo-decision-ctx-pending-msg
admin-status,1917,"rgba(99,102,241,0.3)",⚠️ 미매핑,color,.ceo-decision-ctx-pending-msg
admin-status,1973,"rgba(148,163,184,.15)",⚠️ 미매핑,background,.ceo-decision-ctx-pending-msg
admin-status,1973,#94a3b8,⚠️ 미매핑,background,.ceo-decision-ctx-pending-msg
admin-status,2000,#60a5fa,⚠️ 미매핑,color,.ceo-decision-ctx-pending-msg
admin-status,2009,"rgba(255,255,255,0.05)",--glass,color,.ceo-decision-ctx-pending-msg
admin-status,2145,#60a5fa,⚠️ 미매핑,color,const c = d.counts ||
admin-status,2186,#60a5fa,⚠️ 미매핑,?,"function renderCard(m, catNum)"
admin-status,2253,"rgba(22,163,74,0.10)",--auto-bg,background,"const dimCard = (label, key) =>"
admin-status,2260,"rgba(251,191,36,0.10)",--ceo-bg,background,"const dimCard = (label, key) =>"
admin-status,2260,"rgba(251,191,36,0.4)",⚠️ 미매핑,background,"const dimCard = (label, key) =>"
admin-status,2260,#fcd34d,--ceo-text,background,"const dimCard = (label, key) =>"
admin-status,2276,#fca5a5,⚠️ 미매핑,color,$
admin-status,2284,#60a5fa,⚠️ 미매핑,color,"페이지로 이동 → <a href=""$"
admin-status,2295,"rgba(148,163,184,0.06)",⚠️ 미매핑,color,if (ts.length === 0)
admin-status,2329,"rgba(99,102,241,0.3)",⚠️ 미매핑,color,"const more = ts.length > 12 ? `<a href=""/admin-tasks.html?ca"
admin-status,2639,"rgba(0,0,0,0.85)",⚠️ 미매핑,background,"function showClipboardFallbackModal(text, taskId, taskTitle,"
admin-status,2641,"rgba(147,51,234,0.5)",⚠️ 미매핑,background,"function showClipboardFallbackModal(text, taskId, taskTitle,"
admin-status,2641,"rgba(0,0,0,0.5)",⚠️ 미매핑,background,"function showClipboardFallbackModal(text, taskId, taskTitle,"
admin-status,2641,#1a1a1a,⚠️ 미매핑,background,"function showClipboardFallbackModal(text, taskId, taskTitle,"
admin-status,2643,#c4b5fd,⚠️ 미매핑,color,"function showClipboardFallbackModal(text, taskId, taskTitle,"
admin-status,2644,#9ca3af,⚠️ 미매핑,background,"function showClipboardFallbackModal(text, taskId, taskTitle,"
admin-status,2646,#9ca3af,⚠️ 미매핑,color,"function showClipboardFallbackModal(text, taskId, taskTitle,"
admin-status,2647,#c4b5fd,⚠️ 미매핑,color,"function showClipboardFallbackModal(text, taskId, taskTitle,"
admin-status,2650,"rgba(147,51,234,0.3)",⚠️ 미매핑,background,"function showClipboardFallbackModal(text, taskId, taskTitle,"
admin-status,2650,#0a0a0a,⚠️ 미매핑,background,"function showClipboardFallbackModal(text, taskId, taskTitle,"
admin-status,2650,#e5e7eb,⚠️ 미매핑,background,"function showClipboardFallbackModal(text, taskId, taskTitle,"
admin-status,2652,"rgba(147,51,234,0.2)",⚠️ 미매핑,background,"function showClipboardFallbackModal(text, taskId, taskTitle,"
admin-status,2652,"rgba(147,51,234,0.6)",⚠️ 미매핑,background,"function showClipboardFallbackModal(text, taskId, taskTitle,"
admin-status,2652,#c4b5fd,⚠️ 미매핑,background,"function showClipboardFallbackModal(text, taskId, taskTitle,"
admin-status,2653,"rgba(255,255,255,0.05)",--glass,background,"function showClipboardFallbackModal(text, taskId, taskTitle,"
admin-status,2653,"rgba(255,255,255,0.15)",⚠️ 미매핑,background,"function showClipboardFallbackModal(text, taskId, taskTitle,"
admin-status,2653,#e5e7eb,⚠️ 미매핑,background,"function showClipboardFallbackModal(text, taskId, taskTitle,"
admin-status,2680,"rgba(34,197,94,0.2)",⚠️ 미매핑,?,try
admin-status,2681,"rgba(34,197,94,0.6)",⚠️ 미매핑,?,try
admin-status,2682,#86efac,--auto-text,?,try
admin-status,2691,"rgba(34,197,94,0.2)",⚠️ 미매핑,?,if (ok)
admin-status,2697,"rgba(239,68,68,0.15)",⚠️ 미매핑,?,if (ok)
admin-status,2698,#fca5a5,⚠️ 미매핑,?,if (ok)
admin-status,2752,"rgba(0,0,0,0.3)",⚠️ 미매핑,background,if (clipOk)
admin-status,2808,"rgba(147,51,234,0.15)",⚠️ 미매핑,background,if (clipOk)
admin-status,2808,"rgba(147,51,234,0.45)",⚠️ 미매핑,background,if (clipOk)
admin-status,2808,"rgba(0,0,0,0.3)",⚠️ 미매핑,background,if (clipOk)
admin-status,2808,#c4b5fd,⚠️ 미매핑,background,if (clipOk)
admin-status,2953,"rgba(99,102,241,0.08)",⚠️ 미매핑,background,".sort((a, b) =>"
admin-status,2953,"rgba(99,102,241,0.3)",⚠️ 미매핑,background,".sort((a, b) =>"
admin-status,2983,"rgba(22,163,74,0.20)",⚠️ 미매핑,background,wrap.innerHTML = filterBar + urgent.map(t =>
admin-status,2984,"rgba(96,165,250,0.20)",⚠️ 미매핑,background,wrap.innerHTML = filterBar + urgent.map(t =>
admin-status,2985,"rgba(251,191,36,0.20)",⚠️ 미매핑,background,wrap.innerHTML = filterBar + urgent.map(t =>
admin-status,3000,#fca5a5,⚠️ 미매핑,color,$
admin-status,3073,"rgba(99,102,241,0.3)",⚠️ 미매핑,color,"<span class=""urgent-pill $"
admin-status,3075,"rgba(99,102,241,0.05)",⚠️ 미매핑,background,"<div class=""progress-row"" data-cat=""$"
admin-status,3075,"rgba(99,102,241,0.3)",⚠️ 미매핑,background,"<div class=""progress-row"" data-cat=""$"
admin-status,3161,"rgba(99,102,241,0.3)",⚠️ 미매핑,color,"<span class=""reason"">$"
admin-status,3314,#e2e8f0,⚠️ 미매핑,border-top,$
admin-status,3849,"rgba(251,191,36,0.5)",⚠️ 미매핑,?,if (barFill)
admin-status,3853,"rgba(251,191,36,0.08)",⚠️ 미매핑,color,if (stepsEl)
admin-status,3853,"rgba(251,191,36,0.3)",⚠️ 미매핑,color,if (stepsEl)
admin-status,3853,#fbbf24,⚠️ 미매핑,color,if (stepsEl)
admin-status,3978,"rgba(147,51,234,0.25)",⚠️ 미매핑,background,"<div class=""auto-queue-card in-progress-card $"
admin-status,3978,#c4b5fd,⚠️ 미매핑,background,"<div class=""auto-queue-card in-progress-card $"
admin-status,3987,#c4b5fd,⚠️ 미매핑,color,$
admin-status,4534,"rgba(255,255,255,0.03)",⚠️ 미매핑,color,const botInfo =
admin-status,4594,#60a5fa,⚠️ 미매핑,color,<small>$
admin-status,4629,"rgba(251,191,36,0.10)",--ceo-bg,background,$
admin-status,4629,"rgba(251,191,36,0.4)",⚠️ 미매핑,background,$
admin-status,4629,#fcd34d,--ceo-text,background,$
admin-status,4637,"rgba(99,102,241,0.08)",⚠️ 미매핑,background,if (summary.hasAllBlocks)
admin-status,4637,"rgba(99,102,241,0.30)",⚠️ 미매핑,background,if (summary.hasAllBlocks)
admin-status,4645,"rgba(251,191,36,0.08)",⚠️ 미매핑,background,if (summary.hasAllBlocks)
admin-status,4645,"rgba(251,191,36,0.35)",⚠️ 미매핑,background,if (summary.hasAllBlocks)
admin-status,4645,#fcd34d,--ceo-text,background,if (summary.hasAllBlocks)
admin-status,4727,"rgba(99,102,241,1)",⚠️ 미매핑,?,$
admin-status,4728,"rgba(251,191,36,1)",⚠️ 미매핑,?,$
admin-status,4729,"rgba(34,197,94,1)",⚠️ 미매핑,?,$
admin-status,4730,"rgba(16,185,129,1)",⚠️ 미매핑,?,$
admin-status,4731,"rgba(244,114,182,1)",⚠️ 미매핑,?,$
admin-status,4826,"rgba(99,102,241,0.15)",⚠️ 미매핑,background,function renderFrontmatterBox(fm)
admin-status,4871,"rgba(255,255,255,0.03)",⚠️ 미매핑,color,const botInfo =
admin-status,4927,"rgba(255,255,255,0.05)",--glass,background,if (!sections.length)
admin-status,5435,"rgba(147,51,234,0.25)",⚠️ 미매핑,background,"listEl.innerHTML = filtered.slice(0, 12).map((t, idx) =>"
admin-status,5435,#c4b5fd,⚠️ 미매핑,background,"listEl.innerHTML = filtered.slice(0, 12).map((t, idx) =>"
admin-status,5437,"rgba(239,68,68,0.25)",⚠️ 미매핑,background,"listEl.innerHTML = filtered.slice(0, 12).map((t, idx) =>"
admin-status,5437,#fca5a5,⚠️ 미매핑,background,"listEl.innerHTML = filtered.slice(0, 12).map((t, idx) =>"
admin-status,5440,"rgba(34,197,94,0.25)",⚠️ 미매핑,background,"? `<button data-task-id=""$"
admin-status,5440,"rgba(34,197,94,0.5)",⚠️ 미매핑,background,"? `<button data-task-id=""$"
admin-status,5440,#86efac,--auto-text,background,"? `<button data-task-id=""$"
admin-status,5443,"rgba(15,23,42,0.4)",⚠️ 미매핑,background,"? `<button data-task-id=""$"
admin-status,5443,"rgba(99,102,241,0.15)",⚠️ 미매핑,background,"? `<button data-task-id=""$"
admin,16,#f5f5f7,⚠️ 미매핑,?,html
admin,17,#0A0A0F,--bg,background,body
admin,17,#FAFAFA,--ink,background,body
admin,24,"rgba(10,10,15,.72)",⚠️ 미매핑,background,.ad-sidebar
admin,24,"rgba(255,255,255,.14)",--line-2,background,.ad-sidebar
admin,24,#FAFAFA,--ink,background,.ad-sidebar
admin,25,"rgba(255,255,255,.08)",--glass-2/--line,border-bottom,.ad-sidebar-head
admin,26,#FAFAFA,--ink,color,.ad-sb-logo
admin,27,"rgba(124,58,237,.4)",⚠️ 미매핑,background,.ad-sb-logo-icon
admin,27,#7C3AED,--aurora-1,background,.ad-sb-logo-icon
admin,27,#EC4899,--aurora-2,background,.ad-sb-logo-icon
admin,27,#F59E0B,--warn,background,.ad-sb-logo-icon
admin,27,#06B6D4,--info,background,.ad-sb-logo-icon
admin,27,#fff,--ink,background,.ad-sb-logo-icon
admin,29,#EC4899,--aurora-2,background,.ad-sb-badge
admin,29,#F59E0B,--warn,background,.ad-sb-badge
admin,29,#fff,--ink,background,.ad-sb-badge
admin,31,#6E6E80,--ink-4,color,.ad-sb-section
admin,32,#A0A0B0,--ink-3,border-radius,.ad-sb-item
admin,33,"rgba(255,255,255,.08)",--glass-2/--line,background,.ad-sb-item:hover
admin,33,#FAFAFA,--ink,background,.ad-sb-item:hover
admin,34,"rgba(124,58,237,.4)",⚠️ 미매핑,background,.ad-sb-item.active
admin,34,#7C3AED,--aurora-1,background,.ad-sb-item.active
admin,34,#EC4899,--aurora-2,background,.ad-sb-item.active
admin,34,#F59E0B,--warn,background,.ad-sb-item.active
admin,34,#06B6D4,--info,background,.ad-sb-item.active
admin,34,#fff,--ink,background,.ad-sb-item.active
admin,36,"rgba(255,255,255,.08)",--glass-2/--line,border-top,.ad-sb-foot
admin,36,#6E6E80,--ink-4,border-top,.ad-sb-foot
admin,37,#E5E5EE,--ink-2,color,.ad-sb-foot-email
admin,38,"rgba(255,255,255,.08)",--glass-2/--line,background,".ad-sb-foot a, .ad-sb-foot button"
admin,38,"rgba(255,255,255,.14)",--line-2,background,".ad-sb-foot a, .ad-sb-foot button"
admin,38,#FAFAFA,--ink,background,".ad-sb-foot a, .ad-sb-foot button"
admin,39,"rgba(255,255,255,.12)",--glass-3,background,".ad-sb-foot a:hover, .ad-sb-foot button:hover"
admin,39,#fff,--ink,background,".ad-sb-foot a:hover, .ad-sb-foot button:hover"
admin,45,"rgba(10,10,15,.72)",⚠️ 미매핑,background,.ad-topbar
admin,45,"rgba(255,255,255,.14)",--line-2,background,.ad-topbar
admin,45,#FAFAFA,--ink,background,.ad-topbar
admin,46,#FAFAFA,--ink,color,.ad-logo
admin,47,"rgba(124,58,237,.35)",⚠️ 미매핑,background,.ad-logo-icon
admin,47,#7C3AED,--aurora-1,background,.ad-logo-icon
admin,47,#EC4899,--aurora-2,background,.ad-logo-icon
admin,47,#06B6D4,--info,background,.ad-logo-icon
admin,47,#fff,--ink,background,.ad-logo-icon
admin,49,#EC4899,--aurora-2,background,.ad-badge
admin,49,#F59E0B,--warn,background,.ad-badge
admin,49,#fff,--ink,background,.ad-badge
admin,50,#A0A0B0,--ink-3,color,.ad-nav-right
admin,51,"rgba(255,255,255,.08)",--glass-2/--line,background,.ad-logout
admin,51,"rgba(255,255,255,.14)",--line-2,background,.ad-logout
admin,51,#FAFAFA,--ink,background,.ad-logout
admin,52,"rgba(255,255,255,.12)",--glass-3,background,.ad-logout:hover
admin,55,#FAFAFA,--ink,color,.ad-h1
admin,56,#A0A0B0,--ink-3,color,.ad-h1-sub
admin,58,"rgba(255,255,255,.05)",--glass,background,.ad-stat
admin,58,"rgba(255,255,255,.14)",--line-2,background,.ad-stat
admin,58,#FAFAFA,--ink,background,.ad-stat
admin,59,#A0A0B0,--ink-3,color,.ad-stat-lbl
admin,60,#FAFAFA,--ink,color,.ad-stat-val
admin,61,"rgba(255,255,255,.05)",--glass,background,.ad-card
admin,61,"rgba(255,255,255,.14)",--line-2,background,.ad-card
admin,61,#E5E5EE,--ink-2,background,.ad-card
admin,63,#FAFAFA,--ink,color,.ad-card-h h3
admin,65,"rgba(255,255,255,.08)",--glass-2/--line,border-radius,.ad-filter
admin,65,"rgba(255,255,255,.08)",--glass-2/--line,border-radius,.ad-filter
admin,65,#A0A0B0,--ink-3,border-radius,.ad-filter
admin,66,"rgba(255,255,255,.12)",--glass-3,background,.ad-filter:hover
admin,66,#E5E5EE,--ink-2,background,.ad-filter:hover
admin,67,"rgba(124,58,237,.35)",⚠️ 미매핑,background,.ad-filter.active
admin,67,#7C3AED,--aurora-1,background,.ad-filter.active
admin,67,#EC4899,--aurora-2,background,.ad-filter.active
admin,67,#06B6D4,--info,background,.ad-filter.active
admin,67,#fff,--ink,background,.ad-filter.active
admin,69,#E5E5EE,--ink-2,border-collapse,.ad-table
admin,70,"rgba(255,255,255,.05)",--glass,background,.ad-table th
admin,70,"rgba(255,255,255,.14)",--line-2,background,.ad-table th
admin,70,#A0A0B0,--ink-3,background,.ad-table th
admin,71,"rgba(255,255,255,.08)",--glass-2/--line,border-bottom,.ad-table td
admin,72,"rgba(255,255,255,.06)",⚠️ 미매핑,background,.ad-table tr:hover
admin,73,#fff,--ink,border-radius,.ad-status
admin,75,"rgba(124,58,237,.35)",⚠️ 미매핑,background,.ad-btn-primary
admin,75,#7C3AED,--aurora-1,background,.ad-btn-primary
admin,75,#EC4899,--aurora-2,background,.ad-btn-primary
admin,75,#06B6D4,--info,background,.ad-btn-primary
admin,75,#fff,--ink,background,.ad-btn-primary
admin,76,"rgba(124,58,237,.5)",⚠️ 미매핑,box-shadow,.ad-btn-primary:hover
admin,77,#10B981,--success,background,.ad-btn-success
admin,77,#34D399,⚠️ 미매핑,background,.ad-btn-success
admin,77,#fff,--ink,background,.ad-btn-success
admin,78,#F59E0B,--warn,background,.ad-btn-warning
admin,78,#FBBF24,⚠️ 미매핑,background,.ad-btn-warning
admin,78,#1a1a1a,⚠️ 미매핑,background,.ad-btn-warning
admin,79,#EF4444,--danger,background,.ad-btn-danger
admin,79,#F87171,⚠️ 미매핑,background,.ad-btn-danger
admin,79,#fff,--ink,background,.ad-btn-danger
admin,80,"rgba(255,255,255,.08)",--glass-2/--line,background,.ad-btn-secondary
admin,80,"rgba(255,255,255,.14)",--line-2,background,.ad-btn-secondary
admin,80,#FAFAFA,--ink,background,.ad-btn-secondary
admin,81,"rgba(255,255,255,.12)",--glass-3,background,.ad-btn-secondary:hover
admin,82,#A0A0B0,--ink-3,color,.ad-empty
admin,83,"rgba(255,255,255,.14)",--line-2,border,.ad-loader
admin,83,#7C3AED,--aurora-1,border,.ad-loader
admin,85,#A0A0B0,--ink-3,color,.ad-loading
admin,86,"rgba(5,5,10,.72)",⚠️ 미매핑,background,.ad-modal-overlay
admin,88,"rgba(20,20,28,.92)",⚠️ 미매핑,background,.ad-modal
admin,88,"rgba(255,255,255,.14)",--line-2,background,.ad-modal
admin,88,"rgba(0,0,0,.6)",--sh-shadow-deep,background,.ad-modal
admin,88,#E5E5EE,--ink-2,background,.ad-modal
admin,90,#FAFAFA,--ink,color,.ad-modal-h h3
admin,91,#A0A0B0,--ink-3,background,.ad-close
admin,92,#FAFAFA,--ink,color,.ad-close:hover
admin,94,#A0A0B0,--ink-3,color,.ad-detail-key
admin,95,#FAFAFA,--ink,color,.ad-detail-val
admin,96,"rgba(255,255,255,.14)",--line-2,border-top,.ad-action-row
admin,98,"rgba(255,255,255,.08)",--glass-2/--line,background,.ad-photo
admin,98,"rgba(255,255,255,.08)",--glass-2/--line,background,.ad-photo
admin,99,"rgba(255,255,255,.14)",--line-2,border,.ad-textarea
admin,99,"rgba(255,255,255,.06)",⚠️ 미매핑,border,.ad-textarea
admin,99,#FAFAFA,--ink,border,.ad-textarea
admin,100,#6E6E80,--ink-4,color,.ad-textarea::placeholder
admin,101,"rgba(124,58,237,.18)",⚠️ 미매핑,outline,.ad-textarea:focus
admin,101,#7C3AED,--aurora-1,outline,.ad-textarea:focus
admin,108,"rgba(255,255,255,.08)",--glass-2/--line,border-bottom,.ad-sidebar-head
admin,119,#e8e8e8,⚠️ 미매핑,border-bottom,.bk-subtabs
admin,120,#777,⚠️ 미매핑,border,.bk-subtab
admin,121,#1a1a1a,⚠️ 미매핑,color,.bk-subtab:hover
admin,122,#534AB7,⚠️ 미매핑,color,.bk-subtab.active
admin,122,#534AB7,⚠️ 미매핑,color,.bk-subtab.active
admin,125,#666,⚠️ 미매핑,color,.bk-form-grid label
admin,126,#d8d8d8,⚠️ 미매핑,border,".bk-form-grid input,.bk-form-grid select,.bk-form-grid texta"
admin,126,#fff,--ink,border,".bk-form-grid input,.bk-form-grid select,.bk-form-grid texta"
admin,127,"rgba(83,74,183,.1)",⚠️ 미매핑,outline,".bk-form-grid input,.bk-form-grid select,.bk-form-grid texta"
admin,127,#534AB7,⚠️ 미매핑,outline,".bk-form-grid input,.bk-form-grid select,.bk-form-grid texta"
admin,128,#999,⚠️ 미매핑,color,.bk-section
admin,128,#f0f0f0,⚠️ 미매핑,color,.bk-section
admin,130,#c93030,⚠️ 미매핑,color,.bk-required::after
admin,133,#c9c9d5,⚠️ 미매핑,border,.bk-drop
admin,133,#fafaff,⚠️ 미매핑,border,.bk-drop
admin,134,#534AB7,⚠️ 미매핑,border-color,".bk-drop:hover,.bk-drop.dragover"
admin,134,#f4f3ff,⚠️ 미매핑,border-color,".bk-drop:hover,.bk-drop.dragover"
admin,136,#555,⚠️ 미매핑,color,.bk-drop-text
admin,137,#999,⚠️ 미매핑,color,.bk-drop-sub
admin,139,#f7f7fb,⚠️ 미매핑,background,.bk-file-item
